Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
        12 |                150.000000 |                     439 |                  289
        13 |                175.000000 |                     479 |                  304
        14 |                203.000000 |                     481 |                  278
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      48 |                   21
         6 |                 39.000000 |                      76 |                   37
         7 |                 52.000000 |                     101 |                   49
         8 |                 68.000000 |                     125 |                   57
         9 |                 85.000000 |                     168 |                   83
        10 |                105.000000 |                     206 |                  101
        11 |                126.000000 |                     268 |                  142
        12 |                150.000000 |                     334 |                  184
        13 |                175.000000 |                     389 |                  214
        14 |                203.000000 |                     439 |                  236
        15 |                232.000000 |                     484 |                  252
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      31 |                   13
         5 |                 27.000000 |                      52 |                   25
         6 |                 39.000000 |                      56 |                   17
         7 |                 52.000000 |                      97 |                   45
         8 |                 68.000000 |                     119 |                   51
         9 |                 85.000000 |                     171 |                   86
        10 |                105.000000 |                     271 |                  166
        11 |                126.000000 |                     313 |                  187
        12 |                150.000000 |                     332 |                  182
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      25 |                   15
         4 |                 18.000000 |                      39 |                   21
         5 |                 27.000000 |                      55 |                   28
         6 |                 39.000000 |                      69 |                   30
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      14 |                    4
         4 |                 18.000000 |                      31 |                   13
         5 |                 27.000000 |                      48 |                   21
         6 |                 39.000000 |                      84 |                   45
         7 |                 52.000000 |                     133 |                   81
         8 |                 68.000000 |                     158 |                   90
         9 |                 85.000000 |                     186 |                  101
        10 |                105.000000 |                     187 |                   82
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      27 |                   17
         4 |                 18.000000 |                      42 |                   24
         5 |                 27.000000 |                      53 |                   26
         6 |                 39.000000 |                      82 |                   43
         7 |                 52.000000 |                      86 |                   34
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       8 |                    3
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      36 |                   18
         5 |                 27.000000 |                      57 |                   30
         6 |                 39.000000 |                      84 |                   45
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      16 |                    6
         4 |                 18.000000 |                      37 |                   19
         5 |                 27.000000 |                      47 |                   20
         6 |                 39.000000 |                      65 |                   26
         7 |                 52.000000 |                      94 |                   42
         8 |                 68.000000 |                     138 |                   70
         9 |                 85.000000 |                     160 |                   75
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      44 |                   26
         5 |                 27.000000 |                      66 |                   39
         6 |                 39.000000 |                      90 |                   51
         7 |                 52.000000 |                     121 |                   69
         8 |                 68.000000 |                     161 |                   93
         9 |                 85.000000 |                     174 |                   89
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      28 |                   10
         5 |                 27.000000 |                      66 |                   39
         6 |                 39.000000 |                      89 |                   50
         7 |                 52.000000 |                     139 |                   87
         8 |                 68.000000 |                     152 |                   84
         9 |                 85.000000 |                     184 |                   99
        10 |                105.000000 |                     250 |                  145
        11 |                126.000000 |                     296 |                  170
        12 |                150.000000 |                     335 |                  185
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      22 |                   12
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      52 |                   25
         6 |                 39.000000 |                      86 |                   47
         7 |                 52.000000 |                     110 |                   58
         8 |                 68.000000 |                     156 |                   88
         9 |                 85.000000 |                     243 |                  158
        10 |                105.000000 |                     249 |                  144
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      33 |                   15
         5 |                 27.000000 |                      43 |                   16
         6 |                 39.000000 |                      76 |                   37
         7 |                 52.000000 |                      99 |                   47
         8 |                 68.000000 |                     107 |                   39
         9 |                 85.000000 |                     158 |                   73
        10 |                105.000000 |                     238 |                  133
        11 |                126.000000 |                     313 |                  187
        12 |                150.000000 |                     398 |                  248
        13 |                175.000000 |                     423 |                  248
        14 |                203.000000 |                     458 |                  255
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      32 |                   14
         5 |                 27.000000 |                      46 |                   19
         6 |                 39.000000 |                      77 |                   38
         7 |                 52.000000 |                     110 |                   58
         8 |                 68.000000 |                     136 |                   68
         9 |                 85.000000 |                     141 |                   56
        10 |                105.000000 |                     144 |                   39
        11 |                126.000000 |                     145 |                   19
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      27 |                    9
         5 |                 27.000000 |                      59 |                   32
         6 |                 39.000000 |                      68 |                   29
         7 |                 52.000000 |                     103 |                   51
         8 |                 68.000000 |                     169 |                  101
         9 |                 85.000000 |                     190 |                  105
        10 |                105.000000 |                     263 |                  158
        11 |                126.000000 |                     325 |                  199
        12 |                150.000000 |                     352 |                  202
        13 |                175.000000 |                     359 |                  184
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      26 |                   16
         4 |                 18.000000 |                      37 |                   19
         5 |                 27.000000 |                      56 |                   29
         6 |                 39.000000 |                      76 |                   37
         7 |                 52.000000 |                      99 |                   47
         8 |                 68.000000 |                     155 |                   87
         9 |                 85.000000 |                     191 |                  106
        10 |                105.000000 |                     242 |                  137
        11 |                126.000000 |                     313 |                  187
        12 |                150.000000 |                     328 |                  178
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      13 |                    8
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      23 |                    5
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      30 |                   12
         5 |                 27.000000 |                      47 |                   20
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      32 |                   14
         5 |                 27.000000 |                      52 |                   25
         6 |                 39.000000 |                      60 |                   21
         7 |                 52.000000 |                      97 |                   45
         8 |                 68.000000 |                     137 |                   69
         9 |                 85.000000 |                     186 |                  101
        10 |                105.000000 |                     273 |                  168
        11 |                126.000000 |                     320 |                  194
        12 |                150.000000 |                     366 |                  216
        13 |                175.000000 |                     402 |                  227
        14 |                203.000000 |                     483 |                  280
        15 |                232.000000 |                     485 |                  253
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      17 |                    7
         4 |                 18.000000 |                      26 |                    8
         5 |                 27.000000 |                      51 |                   24
         6 |                 39.000000 |                      83 |                   44
         7 |                 52.000000 |                     102 |                   50
         8 |                 68.000000 |                     139 |                   71
         9 |                 85.000000 |                     174 |                   89
        10 |                105.000000 |                     210 |                  105
        11 |                126.000000 |                     294 |                  168
        12 |                150.000000 |                     316 |                  166
        13 |                175.000000 |                     341 |                  166
        14 |                203.000000 |                     484 |                  281
        15 |                232.000000 |                     489 |                  257
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      28 |                   10
         5 |                 27.000000 |                      47 |                   20
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       6 |                    5
         2 |                  5.000000 |                      14 |                    9
         3 |                 10.000000 |                      22 |                   12
         4 |                 18.000000 |                      37 |                   19
         5 |                 27.000000 |                      64 |                   37
         6 |                 39.000000 |                      97 |                   58
         7 |                 52.000000 |                     124 |                   72
         8 |                 68.000000 |                     204 |                  136
         9 |                 85.000000 |                     247 |                  162
        10 |                105.000000 |                     304 |                  199
        11 |                126.000000 |                     365 |                  239
        12 |                150.000000 |                     373 |                  223
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      32 |                   14
         5 |                 27.000000 |                      49 |                   22
         6 |                 39.000000 |                      99 |                   60
         7 |                 52.000000 |                     147 |                   95
         8 |                 68.000000 |                     178 |                  110
         9 |                 85.000000 |                     190 |                  105
        10 |                105.000000 |                     192 |                   87
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      52 |                   25
         6 |                 39.000000 |                      69 |                   30
         7 |                 52.000000 |                      91 |                   39
         8 |                 68.000000 |                     131 |                   63
         9 |                 85.000000 |                     161 |                   76
        10 |                105.000000 |                     227 |                  122
        11 |                126.000000 |                     256 |                  130
        12 |                150.000000 |                     292 |                  142
        13 |                175.000000 |                     343 |                  168
        14 |                203.000000 |                     385 |                  182
        15 |                232.000000 |                     451 |                  219
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      14 |                    9
         3 |                 10.000000 |                      25 |                   15
         4 |                 18.000000 |                      42 |                   24
         5 |                 27.000000 |                      72 |                   45
         6 |                 39.000000 |                      81 |                   42
         7 |                 52.000000 |                     137 |                   85
         8 |                 68.000000 |                     201 |                  133
         9 |                 85.000000 |                     237 |                  152
        10 |                105.000000 |                     251 |                  146
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      31 |                   13
         5 |                 27.000000 |                      43 |                   16
         6 |                 39.000000 |                      65 |                   26
         7 |                 52.000000 |                      88 |                   36
         8 |                 68.000000 |                     133 |                   65
         9 |                 85.000000 |                     186 |                  101
        10 |                105.000000 |                     235 |                  130
        11 |                126.000000 |                     303 |                  177
        12 |                150.000000 |                     363 |                  213
        13 |                175.000000 |                     369 |                  194
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      36 |                   18
         5 |                 27.000000 |                      53 |                   26
         6 |                 39.000000 |                      72 |                   33
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      49 |                   22
         6 |                 39.000000 |                      65 |                   26
         7 |                 52.000000 |                     118 |                   66
         8 |                 68.000000 |                     143 |                   75
         9 |                 85.000000 |                     183 |                   98
        10 |                105.000000 |                     220 |                  115
        11 |                126.000000 |                     299 |                  173
        12 |                150.000000 |                     346 |                  196
        13 |                175.000000 |                     431 |                  256
        14 |                203.000000 |                     465 |                  262
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      13 |                    8
         3 |                 10.000000 |                      22 |                   12
         4 |                 18.000000 |                      40 |                   22
         5 |                 27.000000 |                      57 |                   30
         6 |                 39.000000 |                      78 |                   39
         7 |                 52.000000 |                      98 |                   46
         8 |                 68.000000 |                     135 |                   67
         9 |                 85.000000 |                     177 |                   92
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      37 |                   19
         5 |                 27.000000 |                      56 |                   29
         6 |                 39.000000 |                      75 |                   36
         7 |                 52.000000 |                      94 |                   42
         8 |                 68.000000 |                     133 |                   65
         9 |                 85.000000 |                     178 |                   93
        10 |                105.000000 |                     242 |                  137
        11 |                126.000000 |                     270 |                  144
        12 |                150.000000 |                     315 |                  165
        13 |                175.000000 |                     317 |                  142
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       8 |                    3
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      31 |                   13
         5 |                 27.000000 |                      61 |                   34
         6 |                 39.000000 |                     102 |                   63
         7 |                 52.000000 |                     122 |                   70
         8 |                 68.000000 |                     154 |                   86
         9 |                 85.000000 |                     164 |                   79
        10 |                105.000000 |                     177 |                   72
        11 |                126.000000 |                     217 |                   91
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      38 |                   20
         5 |                 27.000000 |                      62 |                   35
         6 |                 39.000000 |                      89 |                   50
         7 |                 52.000000 |                     116 |                   64
         8 |                 68.000000 |                     150 |                   82
         9 |                 85.000000 |                     214 |                  129
        10 |                105.000000 |                     246 |                  141
        11 |                126.000000 |                     247 |                  121
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      16 |                    6
         4 |                 18.000000 |                      24 |                    6
         5 |                 27.000000 |                      43 |                   16
         6 |                 39.000000 |                      71 |                   32
         7 |                 52.000000 |                     104 |                   52
         8 |                 68.000000 |                     151 |                   83
         9 |                 85.000000 |                     213 |                  128
        10 |                105.000000 |                     264 |                  159
        11 |                126.000000 |                     366 |                  240
        12 |                150.000000 |                     400 |                  250
        13 |                175.000000 |                     439 |                  264
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      42 |                   24
         5 |                 27.000000 |                      54 |                   27
         6 |                 39.000000 |                      66 |                   27
         7 |                 52.000000 |                     105 |                   53
         8 |                 68.000000 |                     135 |                   67
         9 |                 85.000000 |                     190 |                  105
        10 |                105.000000 |                     251 |                  146
        11 |                126.000000 |                     284 |                  158
        12 |                150.000000 |                     321 |                  171
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      44 |                   26
         5 |                 27.000000 |                      61 |                   34
         6 |                 39.000000 |                      87 |                   48
         7 |                 52.000000 |                     113 |                   61
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      26 |                   16
         4 |                 18.000000 |                      37 |                   19
         5 |                 27.000000 |                      54 |                   27
         6 |                 39.000000 |                      61 |                   22
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      20 |                   10
         4 |                 18.000000 |                      31 |                   13
         5 |                 27.000000 |                      46 |                   19
         6 |                 39.000000 |                      77 |                   38
         7 |                 52.000000 |                     119 |                   67
         8 |                 68.000000 |                     190 |                  122
         9 |                 85.000000 |                     193 |                  108
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      14 |                    4
         4 |                 18.000000 |                      29 |                   11
         5 |                 27.000000 |                      61 |                   34
         6 |                 39.000000 |                      80 |                   41
         7 |                 52.000000 |                     110 |                   58
         8 |                 68.000000 |                     139 |                   71
         9 |                 85.000000 |                     207 |                  122
        10 |                105.000000 |                     215 |                  110
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      16 |                    6
         4 |                 18.000000 |                      32 |                   14
         5 |                 27.000000 |                      51 |                   24
         6 |                 39.000000 |                      74 |                   35
         7 |                 52.000000 |                      91 |                   39
         8 |                 68.000000 |                     110 |                   42
         9 |                 85.000000 |                     150 |                   65
        10 |                105.000000 |                     189 |                   84
        11 |                126.000000 |                     266 |                  140
        12 |                150.000000 |                     284 |                  134
        13 |                175.000000 |                     350 |                  175
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      17 |                    7
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      16 |                    6
         4 |                 18.000000 |                      34 |                   16
         5 |                 27.000000 |                      60 |                   33
         6 |                 39.000000 |                      96 |                   57
         7 |                 52.000000 |                     125 |                   73
         8 |                 68.000000 |                     138 |                   70
         9 |                 85.000000 |                     191 |                  106
        10 |                105.000000 |                     217 |                  112
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      13 |                    8
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      59 |                   32
         6 |                 39.000000 |                      73 |                   34
         7 |                 52.000000 |                     121 |                   69
         8 |                 68.000000 |                     133 |                   65
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      36 |                   18
         5 |                 27.000000 |                      40 |                   13
         6 |                 39.000000 |                      79 |                   40
         7 |                 52.000000 |                     100 |                   48
         8 |                 68.000000 |                     124 |                   56
         9 |                 85.000000 |                     153 |                   68
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      44 |                   26
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      39 |                   21
         5 |                 27.000000 |                      62 |                   35
         6 |                 39.000000 |                      87 |                   48
         7 |                 52.000000 |                      89 |                   37
