Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      21 |                   11
         4 |                 18.000000 |                      40 |                   22
         5 |                 27.000000 |                      46 |                   19
         6 |                 39.000000 |                      66 |                   27
         7 |                 52.000000 |                      88 |                   36
         8 |                 68.000000 |                     123 |                   55
         9 |                 85.000000 |                     194 |                  109
        10 |                105.000000 |                     224 |                  119
        11 |                126.000000 |                     234 |                  108
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      24 |                    6
         5 |                 27.000000 |                      41 |                   14
         6 |                 39.000000 |                      66 |                   27
         7 |                 52.000000 |                     104 |                   52
         8 |                 68.000000 |                     155 |                   87
         9 |                 85.000000 |                     206 |                  121
        10 |                105.000000 |                     226 |                  121
        11 |                126.000000 |                     298 |                  172
        12 |                150.000000 |                     429 |                  279
        13 |                175.000000 |                     479 |                  304
        14 |                203.000000 |                     480 |                  277
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       9 |                    4
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      27 |                    9
         5 |                 27.000000 |                      41 |                   14
         6 |                 39.000000 |                      78 |                   39
         7 |                 52.000000 |                     101 |                   49
         8 |                 68.000000 |                     154 |                   86
         9 |                 85.000000 |                     207 |                  122
        10 |                105.000000 |                     255 |                  150
        11 |                126.000000 |                     303 |                  177
        12 |                150.000000 |                     378 |                  228
        13 |                175.000000 |                     401 |                  226
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      13 |                    8
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      37 |                   19
         5 |                 27.000000 |                      50 |                   23
         6 |                 39.000000 |                      72 |                   33
         7 |                 52.000000 |                      96 |                   44
         8 |                 68.000000 |                     120 |                   52
